Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
Escalates a minor slight during a collection job into attempted murder	Paulie	Valery/Russian debtor	20	5	Stupid	His petty escalation brings no gain and gets him and Chris lost and near death.
Attempts to murder Valery and chases him into the woods	Paulie	Valery	25	10	Bandit	Tries to remove a perceived threat but mainly creates danger for all involved.
Gets himself and Christopher hopelessly lost in the woods during the botched hit	Paulie	Paulie & Christopher	5	5	Stupid	Their exposure and near-death stem directly from his incompetence and stubbornness.
Shoos the cat out of Satriale's back room	Paulie	Cat	55	45	Bandit	Mildly asserts his comfort while slightly inconveniencing the animal.
Initially defends Vito against rumors and demands proof	Paulie	Vito	60	70	Intelligent	Protects a colleague from unproven accusations and calms the situation.
Turns on Vito and pushes for killing him after confirmation	Paulie	Vito	65	20	Bandit	Supports eliminating Vito to satisfy mob norms and his own outrage while gravely harming Vito.
Questions Tony’s leadership over the handling of Vito	Paulie	Tony	45	40	Helpless	His challenge risks his standing and stability without clear benefit to anyone.
Talks at extreme length on the phone until Beansie falls asleep	Paulie	Beansie	55	40	Bandit	Indulges himself socially while imposing on Beansie’s time and patience.
Stands with others confronting Pussy about being an informant	Paulie	Pussy	70	30	Bandit	Helps preserve the crew’s security at the cost of Pussy’s safety and life.
Expresses envy and hostility toward colleagues praised by Tony	Paulie	Various Jersey mobsters	50	35	Bandit	His posturing protects his status but poisons relationships and group cohesion.
Refuses promotion to Aprile crew captain until threatened with Patsy getting it	Paulie	Paulie	70	55	Intelligent	Reluctantly accepts a powerful role to protect his own position and the crew’s order.
Reconciles with Nucci after initially disowning her	Paulie	Nucci	80	80	Intelligent	Regaining their bond benefits his emotional life and gives her comfort and support.
Shows Papa Bear tendencies toward Little Paulie	Paulie	Little Paulie	70	70	Intelligent	Protecting his nephew strengthens family bonds and his own support network.
Objects to Furio attacking a child	Paulie	Child victim	65	80	Intelligent	Opposing the attack preserves some moral boundary and reduces harm to a vulnerable kid.
Helps get Tony off Georgie when Tony is beating him	Paulie	Georgie	55	75	Intelligent	De-escalates Tony’s violence, slightly safeguarding himself and sparing Georgie further harm.
Participates in executing Pussy in cold blood	Paulie	Pussy	65	20	Bandit	Eliminates a dangerous informant for family security at the cost of Pussy’s life.
Shoplifts mugs from the Starbucks expy as “payback”	Paulie	Store	70	25	Bandit	Gains stolen goods and petty satisfaction while harming the business.
Acts like an entitled owner in Valery’s house while collecting	Paulie	Valery	55	30	Bandit	Throws his weight around to assert power, provoking resentment and later violence.
Comforts his mistress’s young children after waking them with a night terror	Paulie	Children	65	80	Intelligent	Reassures frightened kids while preserving his relationship with their mother.
Comforts Beansie after Richie cripples him	Paulie	Beansie	70	80	Intelligent	Shows concern that supports Beansie emotionally and maintains his civilian goodwill.
Assures Finn he’ll suffer no retribution after testifying about Vito	Paulie	Finn	60	80	Intelligent	Reduces Finn’s fear and keeps him cooperative, which helps the family.
Shares rumors and secrets, including implying Adriana was blowing Tony	Paulie	Adriana & Tony’s circle	40	25	Bandit	Gets social capital as a gossip while endangering reputations and internal trust.
Gives Johnny Sack inside information used to advantage New York	Paulie	Tony’s family	50	20	Bandit	Seeks favor with New York but weakens his own family’s position.
Believes Johnny Sack’s flattery about Carmine’s interest and keeps feeding info	Paulie	Paulie	35	30	Helpless	He gains little real benefit while empowering New York at his own family’s expense.
Tells Christopher newly made men should take problems to Tony	Paulie	Christopher	55	60	Intelligent	Good procedural advice increases order and reduces impulsive violence.
Gets outraged when others go to Tony with problems about him	Paulie	Crew members	55	35	Bandit	Tries to insulate himself from accountability, maintaining power while harming fairness.
Tells Johnny about Ralph’s fat joke after scolding Little Paulie for repeating it	Paulie	Ralph & Johnny’s marriage	60	20	Bandit	Uses the joke to curry favor and hurt a rival, sparking dangerous NY tension.
Expecting special treatment after his prison stint despite resenting others for it	Paulie	Paulie’s crew	60	35	Bandit	Leverages his time inside for status and perks while breeding resentment and unfairness.
Demands a sit-down to grab more of the first heist’s spoils from Ralph	Paulie	Ralph & Aprile crew	65	30	Bandit	Attempts to maximize his take at the cost of fairness and inter-crew relations.
On a later heist, hoards as much of the take as he can using arguments he once opposed	Paulie	Vito’s side/partners	70	25	Bandit	Profits by contradicting his previous stance, damaging trust and cooperation.
Disowns Nucci after learning she isn’t his biological mother	Paulie	Nucci	30	15	Stupid	He inflicts emotional harm on both of them and destabilizes his only real family.
Forgives Nucci and cares for her until she dies	Paulie	Nucci	80	85	Intelligent	Restoring and maintaining the relationship benefits his psyche and her final years.
Shows concern and some grief over Christopher’s death and regrets mistreating him	Paulie	Christopher’s memory	65	70	Intelligent	His remorse and reflection promote better self-understanding and honor their bond.
Beats and extorts an innocent man out of jealousy over his loving birth mother	Paulie	Innocent associate	70	5	Bandit	Gets money and emotional venting while severely harming an innocent victim.
Murders Minnie Matrone after she catches him robbing her	Paulie	Minnie Matrone	70	5	Bandit	He secures money and covers his crime at the cost of killing an elderly woman.
Inflates a restaurant bill to punish Christopher for complaining	Paulie	Christopher	60	25	Bandit	He gains petty revenge and a free meal while undermining trust with his subordinate.
Murders a seizing waiter instead of getting help after Chris throws a brick	Paulie	Waiter	55	0	Bandit	He prioritizes avoiding implication over the waiter’s life, gaining only risk reduction.
Is openly a “complete dick” to Valery while collecting, triggering the fiasco	Paulie	Valery	30	10	Stupid	His needless cruelty provokes chaos that nearly kills him and Chris.
Judges and mocks the intervention mediator for being a “two-time loser”	Paulie	Dominic Palladino	55	25	Bandit	He boosts his own ego while damaging the mediator’s authority and the process.
Mocks Christopher’s joy over his newborn daughter becoming an “idiot stripper”	Paulie	Christopher’s family	50	25	Bandit	He asserts dominance and cynicism, straining a fragile family relationship.
Cuts safety corners at an amusement fair he manages, causing an accident	Paulie	Fair patrons	65	5	Bandit	Saves money and increases his skim while endangering and injuring civilians.
Tells Johnny Sack about Ralph’s Ginny Sack joke, sparking NY tensions	Paulie	Inter-family relations	60	10	Bandit	Gets attention from Johnny at the expense of major, lasting conflict.
Starts schmoozing New York behind Tony’s back	Paulie	Tony’s authority	55	25	Bandit	He attempts to hedge his bets personally while undermining his boss’s position.
Turns on Vito “out for blood” once the truth comes out	Paulie	Vito	65	20	Bandit	Pursues harsh mob justice that satisfies him but destroys Vito.
Attempts to defect to New York and is humiliated when Carmine barely knows him	Paulie	Paulie	20	45	Helpless	His betrayal backfires, hurting his standing while offering almost nothing to others.
Denies to Tony that he was the one feeding Johnny information	Paulie	Tony	60	30	Bandit	Protects his own life while keeping Tony in the dark and resentful.
Organizes and participates in an intervention for Christopher	Paulie	Christopher	65	75	Intelligent	Despite his behavior, backing intervention aims to help Chris and stabilize the crew.
Shows visible grief at Nucci’s funeral	Paulie	Nucci’s memory	70	75	Intelligent	Authentic mourning aids his own coping and honors the person who raised him.
Regrets mocking Christopher’s sobriety after Chris dies	Paulie	Paulie	65	70	Intelligent	His regret leads to self-awareness and some emotional growth.
