Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
Starts to favor law over a medical degree	Meadow	Meadow's future	55	30	Bandit	Slightly advances her own preferences but steers herself toward morally compromised work that will harm others.
Asks AJ “Do you know any other garbagemen who live in a house like this?”	Meadow	AJ	60	40	Intelligent	She forces AJ to confront reality about Tony’s job, mildly helping both her own understanding and his.
Helps uphold the false idea that her parents are upstanding citizens	Meadow	Family’s social circle / wider society	60	20	Bandit	She protects her comfortable life by reinforcing a lie that enables ongoing criminality.
Begins accepting her parents’ dysfunctional behavior as normal	Meadow	Meadow	30	40	Helpless	Normalization protects her from cognitive dissonance short-term but ultimately damages her judgment while enabling the family’s status quo.
Abandons potential medical career to become a white-collar criminal lawyer	Meadow	Broader public / legal system	40	10	Stupid	She forgoes a socially beneficial path for a morally dubious one that risks legal and moral fallout for herself and harms society.
Chooses law path after watching Tony arrested by the FBI	Meadow	Criminal clients / justice system	45	15	Stupid	Her reaction to clear guilt is to plan a career defending similar criminals, entangling herself in risk while aiding harmful actors.
Benefits from Tony’s money while in high school	Meadow	Crime victims / rivals	70	20	Bandit	She gains major material comfort that is funded by criminal activity which ultimately harms others.
Lets her Columbia grades slip and retreats into mafia bubble	Meadow	Meadow’s academic prospects	30	40	Helpless	Her academic decline and retreat shrink her legitimate options while maintaining only her insular advantage.
Comforts AJ when Tony gets shot	Meadow	AJ	60	80	Intelligent	She gains emotional closeness and self-worth by genuinely supporting her brother.
Covers for AJ when he gets drunk	Meadow	Parents / AJ’s development	55	35	Bandit	She preserves her relationship with AJ and avoids conflict while impeding accountability that could help him.
Tries to help AJ out of his depression	Meadow	AJ	65	80	Intelligent	She invests effort to support his mental health, benefiting both her conscience and his well-being.
Is a model student who eventually attends Columbia	Meadow	Meadow	80	70	Intelligent	Her hard work yields strong educational outcomes that also give her family and community a positive model.
Behaves as bratty teenage daughter causing grounding incidents	Meadow	Parents	40	40	Stupid	Typical teen rebellion gives her fleeting satisfaction but triggers sanctions and turmoil with no clear net gain.
Calls Tony out on his hypocrisy and criminal work	Meadow	Tony	55	60	Intelligent	She asserts her values and pressures Tony, slightly helping her integrity and nudging him toward self-awareness.
Tony “calls her back” on her own hypocrisy	Tony	Meadow	55	55	Intelligent	By confronting her inconsistencies, he protects himself rhetorically while forcing her to recognize her own double standards.
Grows more accepting of the criminal side of her family	Meadow	Meadow’s moral compass	45	30	Stupid	Short-term comfort with her environment undermines her ethics and contributes to ongoing harms.
Rejects Finn’s warnings that mob violence is not normal	Meadow	Finn	35	25	Stupid	She preserves her comfort by dismissing valid concerns, harming the relationship and leaving violence unchallenged.
Covers for AJ’s downtown hotel room and drinking	Meadow	Parents / AJ	60	30	Bandit	She maintains sibling loyalty and avoids parental wrath but obstructs needed discipline.
Points out to her parents that AJ’s depression could lead to suicide	Meadow	Carmela and Tony	60	80	Intelligent	Raising this risk prompts serious attention to AJ’s condition, helping him and validating her judgment.
Gets engaged to Patsy Parisi’s son	Meadow	Herself / future in-laws	50	25	Stupid	She secures personal attachment within the mob world but further ties herself to criminal circles and their victims’ suffering.
Decides to become a mob lawyer	Meadow	Criminal clients / society	40	10	Stupid	She gains a niche career at high moral and legal risk, while helping harmful actors avoid accountability.
Dates a half–African-American, half–Jewish boy	Meadow	Her relationship with Tony	60	40	Intelligent	She pursues authentic preference and confronts family prejudice, even if it strains her relationship with Tony.
Breaks up with the biracial boyfriend under Tony’s anger	Meadow	Boyfriend	40	30	Stupid	She sacrifices a potentially healthy relationship largely due to external pressure, harming herself and him.
Dates Jackie Jr., an aspiring mobster	Meadow	Meadow	30	20	Stupid	Her choice ties her to danger and a toxic partner, offering little real benefit and enabling his behavior.
Continues to pine for Jackie even after catching him cheating	Meadow	Meadow	20	30	Helpless	Her unresolved attachment hurts her self-respect and prolongs grief while only sentimentally honoring him.
Defends Tony to Finn by repeating mafia byline about Jackie’s killers	Meadow	Finn / Black people accused	45	15	Bandit	She protects her worldview and Tony’s image at the expense of truth and a stigmatized group.
Turns a blind eye to her family’s homophobia over Vito	Meadow	Finn / Vito	45	15	Bandit	She keeps harmony with her family but validates prejudice and possible violence.
Privately accuses a biracial classmate of getting into Wesleyan via affirmative action	Meadow	Classmate	55	15	Bandit	She maintains a flattering merit narrative for herself while unfairly undermining another student.
Dates Noah partly to provoke Tony	Meadow	Tony	55	30	Bandit	She gains rebellion satisfaction and autonomy while aggravating family tensions.
Relies completely on family money while claiming independence	Meadow	Meadow’s parents	60	35	Bandit	She enjoys full financial support while posturing as self-sufficient, adding strain and enabling her comfort.
Chooses Columbia near home and comes back for laundry and meals	Meadow	Carmela	65	45	Bandit	She gets elite education plus domestic support, burdening her mother while maintaining convenience.
Accepts job as white-collar crime lawyer	Meadow	Clients / financial victims	45	15	Stupid	She gains career status but deepens complicity in financial crimes that damage others.
Opposes Tony’s lifestyle initially	Meadow	Tony	55	60	Intelligent	Her resistance affirms her values and exerts moral pressure on a harmful actor.
Eventually accepts Tony’s criminal lifestyle	Meadow	Broader public	45	25	Stupid	The psychological ease she gains leads to increased rationalization of ongoing harm.
Refers to civilians as “outsiders”	Meadow	Non-mob people	50	30	Bandit	Her insider identity cements in-group privilege at others’ expense.
Defends Tony from accurate accusations of being a violent gangster	Meadow	Accusers / potential victims	50	20	Bandit	She preserves her relationship and worldview, while shielding a dangerous person from social accountability.
Outs Finn’s story about Vito to Carmela and Tony	Meadow	Vito	60	5	Bandit	She secures status and sincerity with her parents, effectively triggering lethal consequences for Vito.
Works as a social worker for the poor	Meadow	Poor clients	70	75	Intelligent	She gains experience and fulfillment while providing genuine help to disadvantaged people.
Defends Tony against strangers in later seasons	Meadow	Strangers / society	55	20	Bandit	She protects her family’s reputation at the cost of truth and public safety.
Complains about government treatment of Afghan refugees	Meadow	Refugees	55	70	Intelligent	Her advocacy has minimal self-gain but adds to political pressure in favor of vulnerable people.
Takes the bugged lamp to her college dorm	Meadow	FBI / Tony	50	10	Stupid	She inadvertently sabotages an investigation without gaining more than a lamp, exposing others to continued harm.
Trashes her grandmother’s house during a party	Meadow	Grandmother / parents	40	15	Stupid	She enjoys a short-lived party while causing damage and conflict far outweighing the benefit.
Cleans the trashed house after overhearing Janice	Meadow	Parents / grandmother	60	70	Intelligent	She repairs damage and restores order, slightly redeeming herself and easing others’ burden.
Gets upset at a friend discussing mob affairs with “outsiders”	Meadow	Friend	55	30	Bandit	She protects family secrecy and standing while suppressing honest discussion that might expose crime.
Engages in political/anti-racist discourse while ignoring mob violence	Meadow	Self-image / audience	55	35	Bandit	She gains status as a liberal thinker while selectively excusing her own group’s abuses.
Uses her Ivy League and talents to continue mob involvement	Meadow	Next generation / society	45	20	Stupid	She trades a chance to break the cycle for a role that entrenches criminal power with limited long-term benefit to herself.
