Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
Kills Robin by running through her while high on Compound V	A-Train	Robin	10	0	Stupid	Accidental manslaughter gives him no gain and triggers immense long-term trouble for him and others.
Brushes off Robin’s death with a dismissive laugh	A-Train	Hughie/Robin’s memory	40	5	Bandit	Emotional self-protection and brand-protection at the cost of further hurting the victim’s loved ones.
Begins using Compound V as a performance enhancer	A-Train	A-Train	30	40	Helpless	Short-term career boost leads to addiction and health collapse while marginally entertaining fans.
Makes terrible choices to fuel his Compound V dependency	A-Train	Various victims	20	10	Stupid	Escalating self-destruction combined with collateral harm and no durable benefit.
Kills Popclaw under Homelander’s pressure	A-Train	Popclaw	25	5	Stupid	Slight delay of Homelander’s wrath costs him his beloved and deepens guilt without securing his position.
Mocks Starlight and participates in her assault (comics)	A-Train	Starlight	60	0	Bandit	Momentary status/peer approval gained by severely harming and degrading a teammate.
Calls out Blue Hawk’s conduct in a Seven meeting	A-Train	Blue Hawk/Vought	40	45	Helpless	Tarnishes his own standing with Homelander while failing to secure any justice or change.
Rats out Starlight and Supersonic’s betrayal to Homelander	A-Train	Starlight & Supersonic	70	5	Bandit	Buys short-term safety and favor by causing Supersonic’s death and undermining resistance.
Accepts Vought’s sham community-apology setup with Blue Hawk	A-Train	Community	45	5	Stupid	Tries to protect his image but enables a disastrous event that harms residents and his brother.
Drags Blue Hawk to death at super-speed in revenge	A-Train	Blue Hawk	30	10	Stupid	Personal catharsis and another heart attack trade away any chance of public justice or reform.
Accepts Vought’s cover story turning Blue Hawk into a martyr	A-Train	Blue Hawk’s victims	55	5	Bandit	Keeps money and reputation by erasing victims’ justice and sanctifying their attacker.
Begins rebranding himself as a Black community champion for PR	A-Train	Black community/fans	55	35	Bandit	Gains image and potential career security via a hollow cause that offers minimal real benefit.
Joins the Church of the Collective to regain his spot	A-Train	A-Train	60	40	Bandit	Attempts career recovery through a manipulative organization that offers him little beyond that.
Uses Compound V to arm terrorists while skimming for himself	A-Train	Global public	65	5	Bandit	Maintains status and addiction while creating dangerous supe-terrorists who threaten civilians.
Helps Hughie and Annie expose Stormfront to reclaim his place	A-Train	Stormfront/Vought	60	30	Bandit	Undercuts a rival and regains status while incidentally aiding others against a worse supe.
Makes terrible financial decisions, burning through his fortune	A-Train	A-Train	10	40	Helpless	Squanders massive income on useless luxuries, leaving himself broke while slightly enriching sellers.
Remains loyal to Homelander despite mistreatment in Season 3	A-Train	Himself & allies	30	20	Helpless	Clings to abusive protection that erodes dignity and blocks better alliances.
Threatens to expose Starlight’s Compound V smuggling	A-Train	Starlight	65	10	Bandit	Seeks leverage and standing at the cost of another’s safety, with no broader benefit.
Accepts Homelander’s offer to cover Popclaw’s death by obeying	A-Train	Popclaw/Hughie	35	15	Stupid	Chooses complicity that worsens his own guilt and danger while harming others to stay afloat.
Targets Hughie as an arch-enemy and hunts him	A-Train	Hughie	55	10	Bandit	Attempts to eliminate a perceived threat to his safety by terrorizing an already-traumatized victim.
Confronts Ashley demanding justice after Nathan is crippled	A-Train	Vought	35	40	Helpless	Risks his standing venting anger but gains no justice and only a brutal reminder of his own guilt.
Gives Hughie a genuine apology for Robin at Herogasm	A-Train	Hughie	60	70	Intelligent	Emotional cost and vulnerability yield real healing and mutual understanding.
Attempts to make amends with Nathan post–Season 1 falling out	A-Train	Nathan	50	40	Intelligent	Tries to repair family ties, potentially helping both despite their strained history.
Kills Blue Hawk knowing it will likely kill or cripple him	A-Train	A-Train	20	15	Stupid	Revenge gives fleeting satisfaction but worsens his medical condition and public outcome.
Accepts Ashley’s heart-transplant deal using Blue Hawk’s heart	A-Train	Himself & victims	55	20	Bandit	Secures survival and wealth at the price of burying accountability for systemic racist violence.
Cuts Blue Hawk’s legal reckoning off by accepting martyr narrative	A-Train	Community	50	10	Bandit	Chooses his own absolution and PR over the community’s chance at justice.
Gives Stormfront intel to The Boys to get reinstated	A-Train	Stormfront/Vought	60	35	Bandit	Trades information for his own career, incidentally weakening a major threat to others.
Goes to the community center event with Blue Hawk	A-Train	Community/Family	40	20	Helpless	Intends reconciliation but walks into a setup that backfires catastrophically on his own family.
Saves MM by rushing him to the hospital in Season 4	A-Train	MM	70	80	Intelligent	Risks Homelander’s ire to genuinely save an enemy’s life, gaining moral growth and some respect.
Leaks footage exonerating the Starlighters	A-Train	Falsely accused Starlighters	45	85	Intelligent	Puts himself at severe risk to bring truth and legal relief to innocent people.
Saves Hughie from Homelander in Season 4	A-Train	Hughie	40	85	Intelligent	Endangers his own position to rescue a longtime enemy out of genuine altruism.
Helps The Boys as a secret associate before openly defecting	A-Train	The Boys	45	80	Intelligent	Risks discovery and death to provide critical aid against Homelander’s regime.
Removes his tracking chip and flees into hiding with his family	A-Train	His family	55	75	Intelligent	Sacrifices fame and security to protect himself and loved ones from certain retaliation.
Joins The Boys as a full member by Season 5	A-Train	The Boys	60	80	Intelligent	Abandons prior privileges to commit long-term to opposing Homelander alongside former enemies.
Confronts Mother’s Milk with the “Belize” question	A-Train	Mother’s Milk	55	65	Intelligent	Harshly but accurately points out MM’s flawed escape plan, prompting a more realistic strategy.
Asks Hughie “rush vs being fastest” then agrees to his demands	A-Train	Hughie	55	70	Intelligent	Concedes in negotiation, trading some pride/control for a deal that benefits both.
Chooses not to kill Todd with the bat when ordered	A-Train	Todd	45	60	Intelligent	Incurs moral and personal risk by limiting his own participation in Homelander’s brutality.
Agrees to participate in Cameron Coleman’s beating but holds back	A-Train	Cameron Coleman	40	30	Helpless	Complies enough to survive but is disturbed, neither fully resisting nor clearly benefiting.
Helps expose Deep’s crimes and beats him after defecting	A-Train	The Deep	65	55	Intelligent	Settles scores and weakens a dangerous ally of Homelander while boosting his own new alliance.
Attends Make-a-Wish-style hospital visit and tries to cheer child	A-Train	Sick child	55	60	Intelligent	Awkward but sincere effort offers some attention and care, with little cost to himself.
