Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
Overturns a corruption charge in court by his own wits	Clay Davis	Baltimore D.A. / justice system	90	10	Bandit	He avoids conviction and enhances his standing while undermining a legitimate corruption prosecution.
Failed prosecution accidentally brings down federal syndication case	FBI / federal prosecutors	Clay Davis / federal syndicate	30	20	Helpless	Their unsuccessful attempt to nail him backfires, collapsing a larger federal case with little gain for themselves.
Lester threatens to go federal with major evidence to force Davis to give info	Lester Freamon	Clay Davis	70	40	Bandit	He uses blackmail to extract information; helps his case but coerces Davis and skirts legal/ethical lines.
Davis provides information about where drug money goes under Lester’s threat	Clay Davis	Law enforcement / drug organizations	40	60	Helpless	He protects himself somewhat by complying but exposes criminal networks, aiding others more than himself.
Attorney General turns down federal case after local fiasco	Attorney General	Clay Davis / broader justice effort	55	20	Bandit	He conserves political capital and avoids a risky case, but lets a corrupt politician walk, harming public interest.
Davis scams Stringer Bell out of bribe money without delivering favors	Clay Davis	Stringer Bell	85	5	Bandit	He enriches himself by deceiving Stringer and providing nothing, hurting Stringer’s interests.
Stringer attempts to order a hit on Davis over the scam	Stringer Bell	Clay Davis	20	10	Stupid	A murder plot over a scam risks heavy blowback and legal danger for minimal strategic benefit.
Avon overrules Stringer’s attempted hit on Davis	Avon Barksdale	Stringer Bell / Clay Davis	60	60	Intelligent	He avoids a politically explosive killing that would endanger his organization and Davis, limiting mutual harm.
Davis repeatedly makes bullshit arguments in court (Chewbacca Defense)	Clay Davis	Jury / justice system	80	15	Bandit	He boosts his chances of acquittal by misleading the court and eroding the integrity of the process.
He charms the court audience using outrageous arguments	Clay Davis	Court audience / jurors	80	20	Bandit	He gains sympathy and credibility for himself while distorting perceptions and truth.
He tries to bond with Avon over shared street origins to pitch business	Clay Davis	Avon Barksdale	55	40	Bandit	He seeks personal gain through emotional manipulation; Avon is unconvinced so impact on others is low but deceptive.
He routinely accepts bribes from drug lords	Clay Davis	Drug lords / public	85	5	Bandit	He secures money and power while facilitating criminal operations and betraying the public trust.
He runs a fake charity and pockets school donations	Clay Davis	Impoverished schools / donors	90	0	Bandit	He gains maximum personal profit by diverting resources meant for vulnerable children, gravely harming beneficiaries.
He takes bribes from Stringer for contracts and then does nothing	Clay Davis	Stringer Bell	85	5	Bandit	He profits from Stringer’s payments without fulfilling promises, directly cheating him.
He makes a deal with Carcetti for support in exchange for $20,000	Clay Davis	Tommy Carcetti	80	30	Bandit	He secures money and potential influence while offering political backing, modestly aiding Carcetti if honored.
He breaks the deal and supports Royce instead after taking Carcetti’s money	Clay Davis	Tommy Carcetti / political process	90	5	Bandit	He maximizes his leverage and payoff by double-crossing, heavily harming Carcetti’s campaign.
He sheds convincing crocodile tears in court to sway jury	Clay Davis	Jury / public	85	15	Bandit	His feigned emotion helps secure acquittal by manipulating jurors’ feelings and obscuring truth.
He tries to convince Daniels that Day-Day’s arrest is a misunderstanding	Clay Davis	Daniels / investigation	75	30	Bandit	He attempts to shield his operation and bagman, undermining a legitimate arrest.
When Daniels refuses, he turns hostile and admits he doesn’t care where money comes from	Clay Davis	Daniels / political system	40	30	Stupid	He vents and reveals his amorality, risking relationships and reputation without gaining anything concrete.
He expresses contempt for drug lawyers like Levy despite his own corruption	Clay Davis	Maurice Levy / peers	55	40	Bandit	He slightly differentiates himself in narrative terms but mostly postures; minor benefit, minor reputational harm to others.
He spins the corruption investigation into a racial victimization narrative	Clay Davis	State’s Attorney’s office / public	90	10	Bandit	He strengthens his image and defense while discrediting legitimate prosecutors and muddying real issues.
