Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
Begins stealing cargo and selling drugs to provide for family	Nick	Shipping companies / community / his family	30	20	Stupid	Short-term income is outweighed by police attention, danger, and broader harm to others.
Offers to have someone work only five or six days a month and see how he does	Narrator/Nick (meta-voice)	Nick	40	60	Helpless	Lightening his work load risks his own financial stability while implying relief for others’ schedules.
Learns about Frank’s dirtiness and the Greeks’ operations alongside the audience	Audience Surrogate	Frank & the Greeks	55	60	Intelligent	Gaining knowledge helps him navigate events and aligns audience understanding without clear harm.
Tries to be a big-brother mentor to Ziggy	Big Brother Mentor	Ziggy	60	70	Intelligent	Attempts guidance that slightly costs him time/effort but aims to improve Ziggy’s outcomes.
Refuses to take mentor’s or anyone’s advice	Ziggy	Big Brother Mentor / others	45	20	Bandit	Insisting on his own way feels self-affirming but underuses help and creates trouble for others.
Comes into a life of crime thanks to his uncle	Nick	Nick	35	20	Stupid	Entry into crime gives some money but exposes him to lethal risk and legal ruin with no benefit to others.
Tries to break away from life of crime	Nick	Nick & his family	70	65	Intelligent	Attempting to exit crime improves his prospects and reduces collateral harm.
Greeks decide he knows too much and want to eliminate him	Greeks	Nick	20	10	Stupid	Planning to kill him removes a potential leak short-term but escalates risk and does nothing constructive.
Police maintain a tail outside his house around the clock	Police	Nick / Greeks	60	70	Intelligent	Protects him and helps constrain Greek actions at the expense of police resources.
Greeks let him remain a loose end due to police presence	Greeks	Nick	50	40	Bandit	They avoid immediate risk to themselves but leave an informed enemy at large, mildly reducing danger to him.
Tries to make a deal with Vondas after hearing about Ziggy shooting Glekas	Nick	Vondas / the Greeks	40	30	Bandit	He seeks personal protection or advantage by bargaining, while helping a criminal organization manage fallout.
Gets drunk and cheats on his wife with Prissy after bad news	Nick	Nick’s partner & Prissy	20	10	Stupid	He damages his relationship and self-respect with no gain and some emotional harm to others.
Gives himself up to inform on the Greeks after Frank’s body is found	Nick	The Greeks	65	80	Intelligent	He secures some protection and helps law enforcement against dangerous criminals.
Lectures Ziggy about hiding signs of sudden money after first scheme	Nick	Ziggy	60	60	Intelligent	Advice improves Ziggy’s chances of avoiding detection with little cost to Nick.
Thinks lowly of drug dealers while later becoming one himself	Nick	Nick	40	30	Stupid	Hypocrisy erodes his moral standing and self-consistency without offsetting benefit to others.
Buys a new truck with drug money	Nick	Nick & community	60	30	Bandit	He gains material comfort funded by crime that indirectly contributes to social harm.
Misses days of legitimate work he could have picked up	Nick	Nick	30	45	Helpless	Skipping honest work weakens his stability while marginally opening opportunities for coworkers.
Tries to kill the Greeks after learning of his uncle’s death	Nick	The Greeks	25	15	Stupid	Attempted vengeance risks his life and legal trouble with no real strategic gain.
Union guys restrain him from attacking the Greeks	Union guys	Nick	55	65	Intelligent	They protect him from self-destruction and prevent further escalation.
Reappears as a heckler at Carcetti’s harborside photo-op	Nick	Carcetti / political event	55	40	Bandit	He vents and asserts himself publicly, disrupting the event more than benefiting others.
Opts out of witness protection after a while	Nick	Nick	35	45	Helpless	Leaving protection exposes him to old dangers with no clear new advantage shown.
Dabbles in the criminal underworld despite coming from legitimate work	Nick	Nick	35	25	Stupid	His move into crime brings confusion and legal danger, with limited sustainable benefit.
Keeps drugs and money stashed at his family home	Nick	Nick’s family	20	10	Stupid	He endangers himself and his household, leading to a police raid with no added upside.
Police bash down his door and expose his crimes to family and baby mama	Police	Nick & his family	10	30	Helpless	Enforcement harms his immediate situation and traumatizes the family while serving broader justice.
Fails to earn enough from stevedore work to support partner and baby	Nick	Nick’s household	40	40	Helpless	His inability to provide pushes him toward risky alternatives without clearly helping anyone else.
Desperately looks for a job to avoid being phased out by development	Nick	Nick & his community	70	75	Intelligent	Seeking legitimate work helps him and aligns with preserving working-class stability.
