Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
Realizes which math teaching approaches work and which don’t	Roland Pryzbylewski	His students	80	80	Intelligent	Improves his own teaching effectiveness while helping students learn.
Teaches probability using dice games	Roland Pryzbylewski	His students	85	90	Intelligent	Makes math engaging and successful for students while affirming his role as an effective teacher.
Students ask to “practice probabilities”	Roland’s students	Roland Pryzbylewski	70	80	Intelligent	They request more learning that benefits them and reinforces the teacher’s positive method.
Becomes a teacher because he isn’t fit to be a cop	Roland Pryzbylewski	Himself / school system	75	70	Intelligent	Choosing a role better suited to his abilities benefits his life and gives society a competent teacher.
Punches his superior (Valchek) in the face	Roland Pryzbylewski	Valchek	35	15	Stupid	Violently attacking his boss risks his own career while harming another without clear gain.
Calls out Valchek with violence after being pushed too far	Roland Pryzbylewski	Valchek	30	20	Stupid	Snapping and attacking provides no clear lasting benefit and causes professional and interpersonal damage.
Improves as a policeman with guidance	Roland Pryzbylewski	Police colleagues/public	65	70	Intelligent	Personal skill growth makes him more competent and useful to the department.
Starts teaching naive and overwhelmed, then learns to be a reasonable authority figure	Roland Pryzbylewski	His students	85	85	Intelligent	Gains confidence and skill that simultaneously help his career and his students’ classroom experience.
Tries to be authoritative yet respectful as a teacher	Roland Pryzbylewski	His students	80	85	Intelligent	Balanced discipline and respect build his authority while benefiting student learning and climate.
Becomes a desk jockey instead of a beat cop	Roland Pryzbylewski	Baltimore PD	75	75	Intelligent	Move away from a role he’s bad at to one he’s good at improves his value to the unit and his own safety/career.
Proves very good at paperwork and desk work	Roland Pryzbylewski	Investigative team	80	80	Intelligent	Using his strengths boosts casework while supporting colleagues.
Recklessly fires a gun into a wall after not clearing the chamber	Roland Pryzbylewski	Himself / nearby officers	25	20	Stupid	Shows dangerous incompetence with firearms, risking himself and others for no benefit.
Becomes a much more confident authority figure by his final appearance	Roland Pryzbylewski	His students	80	80	Intelligent	Growing into firm authority improves his career stability and students’ structure.
Acts as a “father to his men” (teacher version)	Roland Pryzbylewski	His students	85	90	Intelligent	Providing paternal care and guidance strengthens students while giving him purpose and fulfillment.
Mistakes a fellow cop for a gangster and kills him by mistake	Roland Pryzbylewski	Officer Waggoner	5	0	Stupid	Disastrous misjudgment ends a life and destroys his own police career with no gain.
Uses data-analysis and paper-chasing skills discovered by Lester	Roland Pryzbylewski	Barksdale investigation team	80	85	Intelligent	Applying analytical talent advances his standing while greatly helping the case.
Lester mentors Prez and uncovers his analytical aptitude	Lester Freamon	Roland Pryzbylewski	75	80	Intelligent	Investing in Prez’s development pays off for Lester’s team and Prez’s career.
Prez improves over time, reducing his “idiot ball” behavior	Roland Pryzbylewski	His colleagues	70	70	Intelligent	Learning from mistakes enhances his reliability and reduces burdens on others.
Other cops lambaste Prez as a screw-up after the shooting	Other police	Roland Pryzbylewski	60	10	Bandit	They socially protect themselves and their narrative at Prez’s emotional expense.
Fails to identify plainclothes officer and rushes in, killing him	Roland Pryzbylewski	Plainclothes officer	5	0	Stupid	Panicked, planless action kills a colleague and ends his own police career.
