Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
Market Equities has his casino proposal canceled	Rainwater	Market Equities	30	60	Helpless	He loses his casino plan but the thwarting later pushes him toward a more constructive alliance.
Rainwater allies with the Duttons against Market Equities	Rainwater	Duttons	75	80	Intelligent	Pooling resources against a bigger threat benefits his tribe and helps the Duttons resist Market Equities.
Rainwater brings in a Senator to witness his coronation	Rainwater	Broken Rock Tribe	70	65	Intelligent	Raises his own prestige while giving the tribe a ceremonially legitimized leader.
Rainwater accepts coronation as Chief with headdress	Rainwater	Broken Rock Tribe	80	70	Intelligent	Gains authority and identity while giving the tribe formal leadership and cultural continuity.
Rainwater indirectly organized the attack that killed Lee Dutton	Rainwater	Duttons	60	10	Bandit	Advances his land-reclamation agenda via lethal violence that severely harms the Duttons.
Rainwater uses any dirty trick to take land back from the U.S. government	Rainwater	U.S. government / others	55	25	Bandit	He advances tribal claims and his power through underhanded tactics that broadly harm out-groups.
Rainwater gives up fighting the Duttons to ally against Market Equities	Rainwater	Duttons	78	82	Intelligent	Abandoning a feud for a joint front gains him a stronger position and protects both sides from a greater enemy.
Rainwater relaxes antagonism to help Duttons against the Becks	Rainwater	Duttons	72	78	Intelligent	Assisting the Duttons against a mutual enemy improves his security and theirs.
Rainwater relaxes antagonism to help Duttons against Market Equities	Rainwater	Duttons	78	82	Intelligent	Cooperating against Market Equities strengthens his tribe and preserves the Duttons’ ranch.
Rainwater delegates resources to help rescue Tate	Rainwater	Tate / Dutton family	70	85	Intelligent	He spends resources but gains goodwill and safety while saving a child from a violent compound.
Rainwater plans to steal livestock from the Dutton farm	Rainwater	Duttons	40	15	Bandit	Attempted theft could benefit his side materially at direct cost to the Duttons.
Rainwater holds a press conference claiming he’s taking land back for the tribe	Rainwater	Broken Rock Tribe / Duttons	65	45	Bandit	Boosts his and the tribe’s political leverage while publicly threatening the Duttons’ holdings.
Rainwater advises Kayce repeatedly like a nephew	Rainwater	Kayce	78	88	Intelligent	He strengthens a key relationship, helping Kayce personally and cementing a bridge figure between groups.
Rainwater offers to help the Duttons repel outside threats when chips are down	Rainwater	Duttons	80	85	Intelligent	Cooperative defense improves his tribe’s security and materially aids the Duttons.
Rainwater sabotages Market Equities	Rainwater	Market Equities	55	20	Bandit	Hurting Market Equities weakens a major threat and benefits his position while damaging that company.
Kayce sells the Yellowstone Ranch to Rainwater on condition it becomes a wilderness area	Kayce	Rainwater	40	60	Helpless	Kayce relinquishes his family’s asset as revenge, while Rainwater gains land and the public gets preservation.
Rainwater accepts the ranch under wilderness-area condition	Rainwater	Broken Rock Tribe / broader public	90	75	Intelligent	He acquires the ranch and secures it from development, aiding his tribe and long-term conservation.
