Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
Helps Jack save a man's life from the plane wreckage	Locke	Injured passenger	60	90	Intelligent	Risks himself in chaotic crash aftermath to help Jack rescue another survivor.
Smiles and embraces the rain instead of seeking shelter	Locke	Himself	70	55	Intelligent	Chooses to calmly enjoy the storm, gaining personal peace without affecting others.
Boards the plane for a survivalist adventure despite handicap and brings a bag of knives	Locke	Himself and fellow passengers	60	40	Bandit	Pursues his own adventurous goal and tools, which later unnerve others and initially raise suspicion.
Uses his knives to hunt and butcher wild boar for the group	Locke	Other survivors	70	90	Intelligent	Uses his skills and weapons to secure food, benefiting himself and the camp.
Talks Walt, a grieving child, with deadpan snark about having a bad month	Locke	Walt	60	65	Intelligent	Uses dry humor to acknowledge Walt’s loss in a grounding, mildly supportive way.
Saves Sawyer and Juliet from being maimed by 1950s Others	Locke	Sawyer and Juliet	75	90	Intelligent	Intervenes as a time-traveling “hero,” clearly protecting others while also preserving his allies.
Presses the button in the hatch every 108 minutes when he believes it will save the world	Locke	Himself and the world	65	80	Intelligent	Commits to tedious, stressful duty he thinks prevents catastrophe, with no sign of self-serving motive.
Stops pressing the button, causing the hatch’s catastrophic failure	Locke	All survivors	20	10	Stupid	Abandons his responsibility out of shaken faith, nearly destroying everyone including himself.
Destroys the submarine that could let people leave the Island	Locke	Other survivors	30	10	Stupid	Eliminates others’ chance to escape to protect his own belief in destiny, hurting them and ultimately himself.
Kills Naomi	Locke	Naomi	25	5	Stupid	Kills an ostensibly helpful outsider to serve his Island agenda, alienating allies and bringing no clear gain.
Uses knife-throwing skill years later to kill two people	Locke	Two unnamed victims	40	15	Bandit	Deploys honed skill lethally against opponents, gaining tactical advantage at others’ fatal expense.
Is beaten, shot, shoved out an 8th story window, and hit by a car	Others (implied aggressors)	Locke	5	50	Helpless	Suffers repeated extreme harms that don’t clearly benefit anyone else overall.
Prepares to commit suicide in his motel room	Locke	Himself	5	40	Helpless	Attempts to end his own life in despair, relieving others of his influence but massively harming himself.
Ben talks Locke out of suicide to get information	Ben	Locke	70	40	Bandit	Temporarily preserves Locke to extract intel, helping himself while only ambiguously helping Locke.
Ben strangles Locke and stages it as suicide	Ben	Locke	80	0	Bandit	Eliminates Locke out of jealousy and uses his death to manipulate others, gravely harming Locke.
Uses an aerosol flamethrower to fight off a polar bear	Locke	Polar bear	75	80	Intelligent	Improvises a weapon to fend off a deadly threat, protecting himself and others.
Uses his crutches to stop “Henry” from strangling Ana Lucia	Locke	Henry / Ana Lucia	70	85	Intelligent	Uses mobility aid as a weapon to interrupt a murder attempt, with clear benefit to the victim.
Tries to stop Jack from contacting the Freighter at gunpoint with an (apparently) empty gun	Locke	Jack	35	25	Bandit	Uses coercion and apparent lethal threat to enforce his Island agenda at Jack’s expense.
Kills people “for the island” at the height of his fanaticism	Locke	Various victims	25	15	Bandit	Commits murder under zealotry, sacrificing others for a cause that only questionably serves him.
Lies wounded in a mass grave and decides to shoot himself	Locke	Himself	5	40	Helpless	Attempts suicide to escape suffering, ending his own potential while barely affecting others.
Heeds a vision of Walt and decides not to shoot himself	Locke	Himself	65	60	Intelligent	Rejects suicide, regaining will to live and preserving his later positive impact on others.
Fails to convince any of the Oceanic Six to return to the Island	Locke	Oceanic Six	35	45	Helpless	His efforts fail, leaving him demoralized and not helping them in the short term.
Decides to hang himself after failing to recruit the Oceanic Six	Locke	Himself	5	40	Helpless	Chooses self-destruction out of despair, harming himself while offering only dubious “relief” to others.
Jack, believing Locke’s suicide, is emotionally broken and later honors Locke’s memory	Jack	Locke’s memory / survivors	55	70	Intelligent	Transforms his guilt into renewed commitment to Locke’s cause, aiding Island and survivors.
Fights to survive after being born three months early	Infant Locke	Himself	90	80	Intelligent	Instinctively clings to life against heavy odds, benefiting himself and inspiring others.
Works to open the hatch with relentless determination	Locke	Himself and survivors	60	65	Intelligent	Pursues a risky, grueling goal to unlock Island secrets and a potential shelter/resource.
Pushes himself to keep pressing the button as a duty	Locke	Himself and survivors	65	75	Intelligent	Accepts ongoing burden and stress for presumed collective safety.
Accepts total blame for destruction of the hatch	Locke	Himself	30	55	Helpless	Internalizes responsibility, psychologically harming himself while clarifying accountability for others.
Is devastated by Boone’s death and briefly loses his faith	Locke	Himself	20	45	Helpless	Emotionally collapses under guilt, hindering his own effectiveness without helping anyone.
Reframes Boone’s death as “a sacrifice the Island demanded”	Locke	Boone’s memory / himself	45	25	Bandit	Uses spiritual rationalization to ease his guilt, devaluing Boone’s life for his own psychological comfort.
Later admits remorse about Boone and shows shame over his earlier rationalization	Locke	Boone’s memory	55	70	Intelligent	Re-embraces honest guilt, regaining moral clarity and respect for Boone’s sacrifice.
Helps Walt learn knife-throwing behind Michael’s back	Locke	Walt	55	40	Bandit	Fosters Walt’s interest and confidence but undermines Michael’s parental authority.
