Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
Sayid immediately begins getting a signal fire going after the crash	Sayid	Other survivors / potential rescuers	72	88	Intelligent	He increases his and the group's chances of rescue with no downside shown.
Sayid ropes Charlie into helping with the signal fire	Sayid	Charlie / group	70	80	Intelligent	He recruits help to build the fire faster, benefiting both himself and the group.
Sayid insists on seeing Essam buried rather than cremated	Sayid	Essam / Essam’s community	58	70	Intelligent	He upholds religious burial rites, giving others respect and closure while modestly affirming his own values.
Sayid prays on a few occasions on the Island	Sayid	Sayid	60	52	Intelligent	His prayers give him some comfort/grounding without affecting others much.
After his rescue and Nadia’s death, Sayid abandons his religious observance and drinks alcohol	Sayid	Sayid	20	55	Helpless	His coping strategy harms himself (self-destructive drift from values) with no clear benefit to others.
Sayid goes rogue in Season 5, assaulting Jin	Sayid	Jin / survivor group	30	15	Bandit	He asserts his own agenda while physically and socially harming an ally and the group’s cohesion.
Sayid shoots a 12-year-old Ben in cold blood in 1970s	Sayid	Young Ben / DHARMA survivors	10	5	Stupid	He gains no lasting benefit and instead creates the very enemy he fears and endangers his friends’ cover.
Sayid briefly allies with Jack again during the plan to set off the bomb	Sayid	Jack / survivors	60	70	Intelligent	Rejoining the plan gives him purpose and aids the group’s broader escape strategy.
Sayid defects to the Man in Black in Season 6	Sayid	Survivors	40	10	Bandit	He seeks personal relief/power by joining an antagonist at the expense of his former allies’ safety.
Sayid makes deals with Ben	Sayid	Ben / Ben’s enemies	45	25	Bandit	He gains direction and some revenge opportunities while helping Ben’s often harmful schemes.
Sayid makes deals with the Man in Black	Sayid	Man in Black / survivors	35	10	Bandit	He pursues personal desires (like promised resurrections) while empowering a destructive entity against others.
Sayid tortures prisoners as an interrogator for the Republican Guard	Sayid	Prisoners	55	5	Bandit	He maintains career/utility to his regime while seriously harming others.
Sayid beats up Ben after Ben claims not to know where his “wife” was buried	Sayid	Ben	30	20	Bandit	He vents rage and gains brief emotional release while inflicting disproportionate harm.
Sayid becomes Ben’s “Dragon” (enforcer) after leaving the Island	Sayid	Ben’s enemies	50	15	Bandit	He gains employment/purpose yet helps Ben terrorize or kill others.
Sayid becomes the Man in Black’s Dragon with Claire in Season 6	Sayid	Man in Black’s opponents	35	10	Bandit	He gets protection/role but furthers a force that endangers the survivors.
Sayid helps Jack as a technological “Lancer” in Season 4	Sayid	Jack / main survivors	75	85	Intelligent	He uses his expertise to support Jack’s leadership, improving survival and rescue chances for all.
