Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
Jon admits lifelong jealousy of Robb and inability to hate him	Jon Snow	Robb Stark	40	70	Helpless	Jon’s envy hurts his own peace of mind but his ultimate affection benefits their bond.
Talisa asks Robb “And then what?” about his war plan	Talisa Maegyr	Robb Stark	60	75	Intelligent	She challenges his lack of endgame, pushing him toward more thoughtful leadership.
Robb agrees to marry a Frey daughter as part of alliance with Walder Frey	Robb Stark	House Frey	70	75	Intelligent	The pact secures crucial military support for Robb and benefits Frey status and leverage.
Robb breaks his Frey betrothal by marrying Talisa out of love	Robb Stark	House Frey	25	5	Stupid	He gains short‑term romantic happiness but catastrophically undermines his own position and Frey honor.
Robb marries Talisa Maegyr	Robb Stark	Talisa Maegyr	45	30	Helpless	The marriage brings mutual personal joy but directly worsens Robb’s and his followers’ prospects.
Robb later offers Edmure Tully to marry a Frey girl in his stead	Robb Stark	Edmure Tully	55	40	Bandit	Robb shifts the political cost of his broken oath onto Edmure to repair his own alliance.
Northern and Riverlands lords acclaim Robb as King in the North	Robb’s bannermen	Robb Stark	75	60	Intelligent	Their support elevates Robb’s power and gives the North a unifying war leader.
Robb leads a northern rebel army against the Iron Throne	Robb Stark	Lannisters / Crown forces	60	20	Bandit	He gains status and advances Northern independence while inflicting heavy losses on enemies and civilians.
Robb sends a Lannister scout away with false information	Robb Stark	Tywin Lannister	75	25	Bandit	The ruse gives Robb a tactical edge while deliberately endangering Tywin’s forces.
Robb sends Alton Lannister to King’s Landing with an ultimatum	Robb Stark	Cersei / Lannisters	60	20	Bandit	He pushes for favorable peace terms under threat of mass casualties.
Robb crushes a Lannister host at Oxcross	Robb Stark	Lannister army	70	15	Bandit	The victory boosts his war position but severely harms enemy lives and resources.
Robb sends 2,000 men to die as a diversion against Tywin	Robb Stark	2,000 northern soldiers	40	10	Bandit	He sacrifices many of his own men to gain a crucial strategic advantage and capture Jaime.
Robb protects Bran from Wildlings	Robb Stark	Bran Stark	70	80	Intelligent	He risks himself to save Bran, preserving both his own standing and his brother’s life.
Robb angrily confronts Lord Karstark for killing Lannister boys	Robb Stark	Lord Rickard Karstark	55	55	Intelligent	He upholds discipline and moral standards, though it foreshadows later division.
Lord Karstark murders two young Lannister hostages	Lord Rickard Karstark	Lannister boys	20	5	Bandit	He gains emotional revenge and possibly leverage but gravely harms innocents and his own side’s cause.
Robb personally executes Lord Karstark for the murders	Robb Stark	Lord Rickard Karstark	30	35	Helpless	He satisfies honor and justice but loses vital troops and weakens his coalition.
Robb chooses execution instead of keeping Karstark as hostage	Robb Stark	House Karstark	25	30	Helpless	Holding him would have preserved military support; execution honors law but strategically harms Robb more.
Robb refuses Jaime’s challenge to single combat	Robb Stark	Jaime Lannister	80	60	Intelligent	He avoids a duel he’d likely lose and preserves his strategic advantage of holding Jaime captive.
Robb treats Theon as a brother and closest friend	Robb Stark	Theon Greyjoy	60	55	Intelligent	Their bond benefits both, though Robb misreads Theon’s deeper resentments.
Robb sends Theon to the Iron Islands to seek an alliance	Robb Stark	Balon Greyjoy	30	20	Helpless	The mission backfires, costing Robb Winterfell and strengthening his enemies.
