Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
Jorah sells slaves to satisfy his wife's tastes	Jorah	His wife	20	10	Bandit	He gains short‑term approval/comfort for them at the cost of honor, lawbreaking, and long‑term ruin for himself and the poachers.
Eddard Stark discovers Jorah’s crimes, leading to Jorah’s exile	Eddard Stark	Jorah	60	70	Intelligent	By enforcing the law he harms Jorah but upholds Westerosi norms and justice overall.
Jorah’s wife abandons him after his exile	Jorah’s wife	Jorah	55	5	Bandit	She avoids sharing hardship and saves herself, but gives no sign of bettering anyone else’s lot.
Jorah becomes a sellsword with the Golden Company after exile	Jorah	Employers / himself	55	40	Intelligent	He converts his skills into income and survival with no indicated harm to others.
Jorah serves as Varys’s informant on Daenerys and Viserys to gain a royal pardon	Jorah	Daenerys & Viserys	40	20	Bandit	He advances toward a pardon while endangering those he’s sworn to protect.
Jorah chooses to remain with Daenerys even after being pardoned by King Robert	Jorah	Daenerys	75	80	Intelligent	He sacrifices a safe return home to continue loyally aiding Dany’s cause.
Jorah defends Daenerys’s life on several occasions	Jorah	Daenerys	80	90	Intelligent	He repeatedly risks himself to keep her alive and further her goals.
Jorah gradually becomes a key ally in Daenerys’s plan to retake Westeros	Jorah	Daenerys & her followers	75	85	Intelligent	His counsel and arms strongly support her political and military project.
Jorah counsels Daenerys to take a more pragmatic, less moral approach to conquest	Jorah	Daenerys	60	35	Bandit	He secures influence and perhaps success at the probable expense of moral costs to others.
Jorah fights unarmored foes while armored and uses his armor strategically against Qotho	Jorah	Enemy combatants	65	45	Bandit	He increases his survival and victory odds while giving opponents no quarter.
Jorah beats an opponent in the fighting pits by removing the opponent’s helmet and using it as a weapon	Jorah	Opponent	60	40	Bandit	He preserves his own life and chances with rough, one‑sided tactics in a lethal arena.
Jorah gets jealous of men who help Daenerys and pushes her to distrust them	Jorah	Daenerys & rivals	35	25	Stupid	His possessiveness undercuts her alliances without yielding him romantic success.
