Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
Squidward's mother verbally supports Sandy's "your mom" joke at Squidward's expense	Squidward's mother	Squidward	70	15	Bandit	She socially aligns with Sandy and distances herself from Squidward, mildly boosting her status while mildly humiliating him.
Squidward's grandmother repeatedly hits his foot with her walker after learning he misused her recipe	Squidward's grandmother	Squidward	60	5	Bandit	She vents anger and asserts dominance with no benefit to him and very minor cathartic gain to herself.
Squidward's grandmother publicly exposes his shortcut use in front of customers	Squidward's grandmother	Squidward	40	10	Stupid	Her shaming damages his standing and the business with little clear gain to herself.
Squidward's grandmother encourages customers to wreck the place	Squidward's grandmother	Restaurant/customers	20	5	Stupid	Inciting destruction harms the establishment and patrons while not clearly benefiting her.
Squidward's father continuously pulls practical jokes on him without malice	Squidward's father	Squidward	80	65	Intelligent	The pranks amuse the father and, in context, maintain a playful bond he’s proud of.
Squidward successfully pranks his father back, making the father proud	Squidward	Squidward's father	85	80	Intelligent	Squidward gains satisfaction and validation while his father is delighted and approving.
Squidward tells SpongeBob his laughter will destroy his "laugh box" if he doesn't stop	Squidward	SpongeBob	55	20	Bandit	He manipulates SpongeBob to get peace, only slightly relieving himself while needlessly scaring and limiting SpongeBob’s joy.
Squidward later reveals to SpongeBob that the "laugh box" warning was a trick and laughs at him	Squidward	SpongeBob	45	25	Bandit	He enjoys gloating at having fooled SpongeBob, marginally harming their trust for small amusement.
Squidward laughs until his own laugh box burns out	Squidward	Squidward	10	50	Helpless	His overindulgent reaction costs him his ability to laugh with no offsetting benefit.
SpongeBob donates part of his laugh box to replace Squidward's	SpongeBob	Squidward	35	90	Helpless	He sacrifices part of his own capacity to laugh to restore Squidward’s, greatly helping Squidward at personal cost.
Sea bear savagely attacks Squidward after he deliberately does things known to provoke it	Sea bear	Squidward	10	50	Helpless	The animal reacts instinctively, seriously hurting Squidward while deriving no meaningful benefit.
Sea bear attacks Squidward again after his accidental provocations	Sea bear	Squidward	15	50	Helpless	Repeated instinctual mauling harms Squidward with no gain beyond reflexive aggression.
Sea bear attacks Squidward a final time seemingly just because it dislikes him	Sea bear	Squidward	5	45	Stupid	An unprovoked attack inflicts harm on Squidward without any apparent benefit even to the attacker.
Jellyfish repeatedly sting Squidward, including a giant jellyfish shocking him twice	Jellyfish	Squidward	10	50	Helpless	The stings cause serious pain to Squidward without tangible gain for the jellyfish beyond reflex defense.
Squidward loathes his cashier job and treats customers with contempt	Squidward	Customers	30	25	Stupid	His attitude worsens his own work environment and alienates customers, undermining both sides.
Squidward creates an injury-filled "sportz" game to try to kill SpongeBob and Patrick	Squidward	SpongeBob and Patrick	15	0	Stupid	He orchestrates lethal harm against them, and the story notes he ends up cooked into calamari as punishment.
Squidward is cooked into calamari as a consequence of the deadly game	World/Situation	Squidward	0	50	Helpless	The outcome annihilates him as retribution, with no clear direct benefit to others beyond grim justice.
Squidward, enlarged by growth spray, initially becomes a helpful gentle giant to the town	Squidward	Bikini Bottom citizens	60	80	Intelligent	He gains some appreciation and belonging while providing useful help to many.
Town exploits Giant Squidward's helpfulness until he gets fed up	Bikini Bottom citizens	Squidward	65	25	Bandit	They derive ongoing benefit from his labor while overburdening and frustrating him.
Squidward performs interpretive dancing or loud clarinet playing to demand attention	Squidward	Bystanders	55	35	Bandit	He gains self-satisfaction and attention at the cost of others’ peace and patience.
Squidward reads SpongeBob's personal diary aloud to the town and makes him cry	Squidward	SpongeBob	40	5	Stupid	He gets fleeting amusement but heavy social backlash and no net gain, while deeply hurting SpongeBob.
Squidward dismisses the town’s tomato pelting because he thinks humiliating SpongeBob was worth it	Squidward	SpongeBob	50	20	Bandit	He subjectively values his spiteful act despite punishment, privileging his own satisfaction over SpongeBob’s pain.
Squidward occasionally acts protectively toward SpongeBob (e.g., "Dying for Pie", "Christmas Who?")	Squidward	SpongeBob	70	80	Intelligent	Defending SpongeBob reassures Squidward’s own conscience and safety while directly protecting SpongeBob.
In "Graveyard Shift", Squidward instinctively hugs SpongeBob when they think they’ll be killed	Squidward	SpongeBob	75	85	Intelligent	The protective embrace comforts both and expresses genuine care in the face of danger.
Squidward conspires with Mr. Krabs to humiliate SpongeBob into staying away from deadly hooks	Squidward	SpongeBob	65	40	Bandit	He and Krabs traumatize SpongeBob to save his life, trading emotional harm for substantial safety.
In "Pizza Delivery", Squidward violently knocks out a customer with a pizza for making SpongeBob cry	Squidward	Rude customer	60	40	Bandit	He defends SpongeBob and gains moral satisfaction while physically harming the customer.
Squidward saves SpongeBob from being hit by a truck in "Pizza Delivery"	Squidward	SpongeBob	80	90	Intelligent	He risks himself to physically protect SpongeBob, benefiting them both.
Squidward openly bullies SpongeBob with cruel pranks and taunts in various episodes	Squidward	SpongeBob	45	15	Bandit	He gains brief sadistic pleasure while consistently harming SpongeBob’s feelings and trust.
Squidward confronts and decks the unsatisfiable pizza customer with a pizza box	Squidward	Rude customer	60	45	Bandit	He avenges SpongeBob and restores some justice while using disproportionate violence.
In "The Camping Episode", Squidward deliberately does all the things that attract a sea bear	Squidward	Squidward	10	50	Helpless	His obstinate defiance gets him severely mauled for no benefit.
In "Big Sister Sam", Squidward repeatedly insults and provokes the extremely strong Sam	Squidward	Squidward	10	50	Helpless	Provoking someone far stronger leads to his predictable brutalization.
In "Squid Plus One", Squidward mocks Larry's love of protein shakes, angering him	Squidward	Larry the Lobster	20	40	Stupid	Insulting a powerful potential friend harms their relationship and invites retaliation with no upside.
In "Squidward's Sick Daze", Squidward attempts to play sick to avoid work	Squidward	Mr. Krabs	55	40	Bandit	He aims to gain free time at the cost of dumping work on others and deceiving his boss.
Squidward zips SpongeBob and Patrick’s mouths shut to control their nonsense	Squidward	SpongeBob and Patrick	60	45	Bandit	He gains immediate quiet at the cost of their autonomy and participation.
Squidward schemes with Mr. Krabs in "Hooky" to humiliate SpongeBob away from hooks	Squidward	SpongeBob	65	40	Bandit	He cooperates in a harsh scare that emotionally harms SpongeBob but likely saves his life.
Squidward tells SpongeBob and Patrick what they "need" to hear in a brutally honest way	Squidward	SpongeBob and Patrick	55	60	Intelligent	His bluntness often corrects harmful behavior, benefiting them though it risks social friction.
In "Squidville", Squidward moves to a community of people just like him	Squidward	Squidward	40	50	Helpless	He escapes annoyances but ends up miserable and bored, gaining little from the move.
Squidward installs a security system to keep SpongeBob and Patrick out in "Good Neighbors"	Squidward	SpongeBob and Patrick	35	20	Stupid	The system backfires, escalates chaos, and doesn’t exclude them, worsening things for all.
Squidward jealously calls the host of "House Fancy" claiming his home is fancier than Squilliam's	Squidward	Squidward	30	50	Helpless	The boast forces him into a stressful comparison he isn’t ready for, with no evident gain.
In "Born to Be Wild", Squidward begs a biker gang to let him live and offers to betray friends	Squidward	Neighbors	35	20	Bandit	He tries to preserve his own life by sacrificing others, though the plea is driven by fear.
In "Fools in April", Squidward executes a cruel, painful April Fools prank on SpongeBob	Squidward	SpongeBob	30	10	Stupid	He severely hurts SpongeBob and loses social standing, gaining only a moment of cruel laughter.
Squidward realizes he went too far in "Fools in April" and struggles to apologize	Squidward	SpongeBob	60	75	Intelligent	Attempting to apologize costs emotional pride but repairs the relationship and eases his guilt.
Squidward refuses to eat Krabby Patties, then secretly becomes hooked in "Just One Bite"	Squidward	Squidward	75	50	Helpless	His addiction gives him pleasure but also compulsive, risky behavior and embarrassment.
In "Krusty Towers", Squidward quits after being forced to cater to Patrick's absurd demands	Squidward	Mr. Krabs	65	45	Bandit	Quitting stops his humiliation and pressures Krabs, imposing inconvenience on the business.
Squidward re-enters Krusty Towers as a guest and exploits the "no denial" policy	Squidward	Mr. Krabs	75	25	Bandit	He extracts maximum service and compensation from Krabs, who suffers cost and humiliation.
In "Rule of Dumb", Squidward points out Patrick has no real claim to kingship	Squidward	Bikini Bottom citizens	70	80	Intelligent	He restores everyone’s autonomy and property while gaining vindication and some respect.
Squidward shoves Patrick's loyalty-treaty into SpongeBob's face crater	Squidward	SpongeBob	55	35	Bandit	He rejects the sham rule and vents frustration, mildly hurting SpongeBob for personal satisfaction.
In "Gullible Pants", Squidward feeds SpongeBob fake "secrets" so SpongeBob will do all the dirty work	Squidward	SpongeBob	65	30	Bandit	He enjoys a lazy day while exploiting SpongeBob’s trust and labor.
Squidward naps while the Krusty Krab devolves into chaos in "Gullible Pants"	Squidward	Restaurant	60	20	Bandit	He benefits from rest while the workplace and customers bear the consequences.
Squidward breaks up SpongeBob and Patrick's friendship in "Naughty Nautical Neighbors"	Squidward	SpongeBob and Patrick	45	20	Bandit	He seeks peace by emotionally harming both, only to lose when their attention turns to him.
Squidward then tries to get SpongeBob and Patrick back together when their focus shifts to him	Squidward	SpongeBob and Patrick	60	65	Intelligent	He repairs the friendship to relieve his own new annoyance, helping all three.
In "Restraining SpongeBob", Squidward gets a restraining order against him	Squidward	SpongeBob	55	40	Bandit	He buys himself space and safety while significantly restricting SpongeBob’s movements and work.
Squidward ignores the implications of the restraining order, causing Patrick to be brought in and annoy him	Squidward	Squidward	30	50	Helpless	His refusal to adapt leads to a worse outcome—Patrick’s interference—for no gain.
In SpongeBob Comics "Great Grandma", Squidward agrees to a month of being ignored for one visit with Grandma	Squidward	Squidward	40	50	Helpless	He trades future recognition for a one-time visit, then can’t undo the deal and suffers.
Squidward calls Plankton "the most hated thing in Bikini Bottom" in "F.U.N."	Squidward	Plankton	55	40	Bandit	He scores a cutting insult at Plankton’s expense, offering little constructive value.
Squidward reads SpongeBob's diary twice and exposes his secrets in "Little Yellow Book"	Squidward	SpongeBob	35	5	Stupid	He humiliates SpongeBob and incurs the town’s wrath with no lasting benefit to himself.
Squidward celebrates SpongeBob's disappearance and sabotages the search in "What Ever Happened to SpongeBob?"	Squidward	SpongeBob	40	10	Stupid	He enjoys schadenfreude briefly but risks community anger and a worse social climate.
Squidward accepts Mr. Krabs’ bribe (egg) to join the search in that episode	Squidward	Mr. Krabs	60	55	Intelligent	He gains a desired item and helps restore a valuable community member.
Squidward tells Mr. Krabs he "has no soul" in "Just One Bite"	Squidward	Mr. Krabs	50	45	Bandit	He vents contempt at Krabs, getting momentary satisfaction while insulting his boss.
Squidward often uses SpongeBob as a scapegoat to avoid admitting his own faults	Squidward	SpongeBob	40	25	Bandit	He preserves his self-image and sometimes dodges blame by unfairly harming SpongeBob’s reputation.
Squidward passes SpongeBob's sculpture off as his own in "Artist Unknown"	Squidward	SpongeBob	35	15	Bandit	He claims unearned prestige at SpongeBob’s expense but ultimately jeopardizes his credibility.
Squidward coerces SpongeBob to recreate the sculpture after it breaks	Squidward	SpongeBob	45	25	Bandit	He tries to salvage his stolen glory by exploiting SpongeBob’s talent again.
Squidward tries harshly to crush SpongeBob's optimism to "bring him down"	Squidward	SpongeBob	40	20	Bandit	He seeks emotional relief by undermining SpongeBob’s happiness, hurting SpongeBob for no real gain.
Squidward in "Band Geeks" directs the band and pushes them to perform for his reputation	Squidward	Band members	70	80	Intelligent	His ambition and leadership produce a triumphant performance that benefits him and everyone.
Squidward overworks SpongeBob with dance lessons in "I Heart Dancing" to keep him from auditioning	Squidward	SpongeBob	45	25	Bandit	He undercuts SpongeBob’s opportunity, trying to secure the role for himself.
Squidward auditions instead and gets the part	Squidward	Production	75	55	Bandit	He wins the role at SpongeBob’s expense, though this leads to a later Karmic Twist.
Squidward’s role turns out to be in Squilliam's show, who then runs him ragged	Squilliam	Squidward	20	50	Helpless	The "victory" leaves Squidward exploited and exhausted, undercutting his earlier gain.
Squidward quits the Krusty Krab in "Can You Spare a Dime?" after Krabs falsely accuses him	Squidward	Mr. Krabs	55	35	Bandit	He escapes unjust treatment but loses his job and triggers further personal problems.
SpongeBob takes Squidward into his home after that quitting	SpongeBob	Squidward	40	85	Helpless	He burdens himself financially and emotionally to give Squidward shelter and comfort.
Squidward turns into a spoiled brat and forces SpongeBob to wait on him hand and foot	Squidward	SpongeBob	70	15	Bandit	He enjoys extreme comfort at significant cost to SpongeBob’s time, money, and sanity.
Squidward tries to get SpongeBob killed by the guard worm in "The Lost Mattress"	Squidward	SpongeBob	20	5	Stupid	His plan backfires and he is mauled himself, having tried to inflict serious harm for selfish reasons.
Squidward slaps and interrogates Mr. Krabs in "Krab Borg" to test if he's a robot	Squidward	Mr. Krabs	40	35	Bandit	He indulges paranoia and inflicts pain on Krabs, later facing blame while gaining only false reassurance.
Squidward calls out Mr. Krabs for selling SpongeBob to the Flying Dutchman in "Born Again Krabs"	Squidward	Mr. Krabs	70	80	Intelligent	He risks Krabs’ anger to defend SpongeBob’s worth and trigger Krabs’ repentance.
Squidward tells Mr. Krabs that he and the restaurant are "nothing" without SpongeBob in "SpongeBob's Place"	Squidward	Mr. Krabs	65	75	Intelligent	He delivers a hard truth that pushes Krabs to value SpongeBob properly.
Squidward helps protect SpongeBob from being eaten by Mrs. Puff in "Kooky Cooks"	Squidward	SpongeBob	80	85	Intelligent	He acts decisively to save SpongeBob’s life, strengthening their mutual safety.
Squidward refuses to rescue SpongeBob and Patrick from Sandy's flea infestation in "A Flea in Her Dome"	Squidward	SpongeBob and Patrick	50	35	Bandit	He maintains his comfort by ignoring their distress, only to later suffer consequences himself.
Squidward belittles customers at the Krusty Krab and sometimes insults them to their faces	Squidward	Customers	35	25	Stupid	He diminishes tips, job security, and atmosphere, harming both himself and patrons.
Squidward often ditches work or plays sick to avoid shifts	Squidward	Mr. Krabs	55	40	Bandit	He gains time off at the cost of overburdening coworkers and hurting the business.
Squidward trades his house and belongings for a piece of paper in "The Paper"	Squidward	Squidward	5	50	Helpless	He dramatically impoverishes himself over a trivial object, gaining almost nothing.
Squidward harshly mocks SpongeBob and Patrick’s snowball fight, then tries to escalate it violently in "Snowball Effect"	Squidward	SpongeBob and Patrick	35	20	Bandit	He seeks entertainment from their potential injury, undermining his own peace when they retaliate.
Squidward tells Larry protein-shake drinkers are idiots in "Squid Plus One"	Squidward	Larry the Lobster	25	40	Stupid	He needlessly insults a prospective friend and loses social capital with no upside.
Squidward mockingly stomps a roach and tries to eat it in "Club SpongeBob"	Squidward	Roach	45	30	Bandit	He expresses cruelty and gains nothing substantial, then is later humiliated by the same roach.
Squidward abandons Mr. Krabs and SpongeBob when the Krusty Krab is about to be bulldozed in "Move it or Lose it"	Squidward	Mr. Krabs and SpongeBob	60	30	Bandit	He secures his own safety and comfort while leaving them to face the risk alone.
Squidward happily hands the manager job of Krusty Krab 2 to SpongeBob at the movie's end	Squidward	SpongeBob	70	80	Intelligent	He avoids an unwanted role and recognizes SpongeBob’s suitability, benefiting them both.
Squidward enthusiastically beats up fast-food bosses exploiting SpongeBob in a patty suit	Squidward	Exploitative bosses	70	65	Intelligent	He stops abusive labor practices and protects SpongeBob while venting justified anger.
Squidward intentionally hums and sings about hating people in the Krusty Krab (later seasons)	Squidward	Customers and coworkers	45	35	Bandit	He vents frustration but worsens relationships and atmosphere with little payoff.
Squidward becomes a diligent, high-spirited employee after an electric shock in "A Breath of Fresh Squidward"	Altered Squidward	Mr. Krabs and customers	80	75	Intelligent	The new attitude brings him success and improves service for everyone.
Squidward constructs an excellent new house for SpongeBob from scratch	Squidward	SpongeBob	75	90	Intelligent	He shows competence, likely gains pride, and gives SpongeBob a major benefit.
Squidward remodels the Krusty Krab into a fancy restaurant using Chum Bucket scraps	Squidward	Restaurant and customers	80	85	Intelligent	His creativity improves ambience and value for both business and patrons.
Squidward uses camouflage to disappear when asked to clean the grease trap in "Greasy Buffoons"	Squidward	Mr. Krabs	60	40	Bandit	He evades an unpleasant chore, shifting the problem onto others.
Squidward deliberately scares SpongeBob about his splinter in "The Splinter"	Squidward	SpongeBob	50	25	Bandit	He takes pleasure in SpongeBob’s fear while not improving his own situation.
Squidward sometimes consoles SpongeBob when he is visibly distressed (e.g., "Krab Borg")	Squidward	SpongeBob	65	75	Intelligent	Offering comfort eases SpongeBob’s pain and softens Squidward’s isolation.
Squidward picks up SpongeBob and hugs him when facing death in "Graveyard Shift"	Squidward	SpongeBob	80	85	Intelligent	The embrace offers mutual emotional benefit and protection in crisis.
Squidward tells SpongeBob to "go" in "Squidtastic Voyage", prompting Patrick to hit the growth button and enlarge Squidward	Squidward	Squidward	25	50	Helpless	Poor communication leads to a harmful outcome for himself that he did not intend.
Squidward lies about being grateful in "Sponge-Cano" after SpongeBob saves him from the volcano	Squidward	SpongeBob	40	30	Bandit	He protects his pride at the cost of devaluing SpongeBob’s rescue and their relationship.
Squidward and Bubble Bass bond as vitriolic "frenemies" in "BassWard"	Squidward	Bubble Bass	65	65	Intelligent	They gain companionship and mutual support despite hostile banter, with no serious harm shown.
