Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
Fiona is turned on by Jimmy/Steve’s criminal driving after Tony pulls them over	Fiona	Jimmy/Steve	60	20	Bandit	She gains romantic/sexual excitement from behavior that endangers others and risks legal trouble.
Jimmy/Steve performs illegal driving “plays” during the traffic stop	Jimmy/Steve	Others on road / law	30	10	Bandit	He shows off and thrills himself while endangering others and risking arrest.
Fiona favors Jimmy/Steve more after he reveals he is a car thief	Fiona	Jimmy/Steve	65	25	Bandit	She rewards his criminality with affection, reinforcing harmful behavior with no benefit to others.
Fiona gives an anguished declaration of love to Gus to beg him to stay	Fiona	Gus	30	40	Helpless	She humiliates herself emotionally for a relationship that soon ends and doesn’t notably help Gus.
Frank headbutts Ian	Frank	Ian	60	5	Bandit	Frank asserts himself violently, hurting Ian with no clear benefit to anyone else.
Fiona warns Frank she’ll “end him” if he hits her siblings again	Fiona	Frank	70	75	Intelligent	Her threat protects her siblings while also reinforcing her authority and boundaries.
Fiona calls Monica out in a speech when Monica tries to take Liam away	Fiona	Monica	75	80	Intelligent	She forcefully confronts Monica to keep Liam safe, upholding her role as guardian.
Fiona decides to keep and snort Robbie's cocaine instead of throwing it away	Fiona	Fiona / household	10	5	Stupid	She endangers herself and her family with no lasting benefit, triggering severe fallout.
Liam gets into Fiona’s cocaine and is hospitalized	Liam	Liam	5	0	Stupid	Liam is gravely harmed with no gain to himself or others.
Authorities arrest Fiona for the cocaine incident	Police/Fiona (via actions)	Fiona	20	40	Helpless	Her prior choices cause her arrest, hurting her while arguably enforcing public safety.
Fiona is put on house arrest	Fiona/Justice system	Fiona	25	45	Helpless	Restrictions harm her prospects while weakly serving public order and rehabilitation.
Fiona has trouble finding a job because of being a felon	Fiona	Employers / herself	15	30	Helpless	Her record severely limits her opportunities without offering matching benefits to others.
Her siblings briefly turn away from her after the cocaine incident	Siblings	Fiona	20	30	Helpless	She loses family support while they gain some emotional distance/protection.
Fiona wears a stomach-baring cheerleader outfit for a sleazy bar job	Fiona	Bar patrons / employer	25	35	Helpless	She endures emotional discomfort and harassment risk for marginal income and others’ titillation.
Jasmine is overly generous and tries to sleep with Fiona	Jasmine	Fiona	55	40	Bandit	Jasmine pursues her desire while her generosity is tinged with self-serving motives, giving Fiona mixed benefits.
Fiona secures guardianship of her siblings in court	Fiona	Siblings	80	90	Intelligent	She accepts long-term responsibility, stabilizing the kids and giving herself legitimate parental authority.
Fiona impulsively marries Gus after an “all day sex bender”	Fiona	Gus	30	35	Helpless	The rushed marriage soon collapses, bringing drama and little lasting benefit to either.
Fiona loses her stable job after the cocaine incident	Fiona	Fiona	10	45	Helpless	She badly harms her own prospects; others gain only minor risk-reduction from her removal.
Fiona cheats on Mike with his brother Robbie	Fiona	Mike	40	10	Bandit	She pursues her own gratification while deeply hurting a decent partner.
Fiona leaves Robbie’s cocaine out where Liam can access it	Fiona	Liam / household	5	0	Stupid	Reckless neglect nearly kills Liam and destroys Fiona’s stability with no upside.
Fiona has to urinate in front of a probation officer under house arrest	Fiona	Fiona	15	40	Helpless	She suffers degrading supervision while society gets marginal monitoring benefits.
Mike’s sister publicly dresses Fiona down at her old workplace	Mike’s sister	Fiona	65	30	Bandit	The sister gains catharsis and moral satisfaction at the cost of humiliating Fiona.
