Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
Neglects Debbie, Carl and Liam, emotionally abuses Fiona and Lip, and physically abuses Ian	Frank	Debbie, Carl, Liam, Fiona, Lip, Ian	30	5	Stupid	Long‑term abuse brings him little concrete gain while severely damaging his children and family ties.
Tries to strangle Debbie when he learns she has hidden his drugs	Frank	Debbie	20	0	Stupid	Violent attack risks prison and alienation for momentary rage over drugs.
Spends any money he can get on alcohol or other substances	Frank	Frank	10	10	Stupid	He burns resources on addiction, worsening his health and family’s finances without real benefit.
Continues drinking despite learning his alcoholism is killing him	Frank	Frank	0	20	Stupid	Knowingly accelerating his own death for short‑term intoxication.
Resumes drinking after getting a new liver	Frank	Frank	5	25	Stupid	Undermines a lifesaving transplant to re‑engage a self‑destructive habit.
Leeches off anyone willing to tolerate him, not paying anyone back	Frank	Others he exploits	40	5	Bandit	He gains resources while eroding others’ finances and goodwill.
Marries Sheila on his deathbed	Frank	Sheila	45	35	Intelligent	He gains comfort and support; she seems to gain desired emotional connection and closure.
Prostitutes himself at a local gay bar	Frank	Clients at gay bar	55	55	Intelligent	He earns money while providing consensual services clients seek.
Becomes a drug mule using his capacity to smuggle more drugs than any mule before him	Frank	Drug traffickers / broader public	60	10	Bandit	He gains payment and passage home while facilitating large‑scale drug trafficking harms.
Gets a new liver	Frank	Frank	85	60	Intelligent	He gains major health benefits while justifying the transplant resources invested in him.
Burns himself trying to set fire to a homeless shelter	Frank	Homeless shelter & occupants	5	5	Stupid	He injures himself while attempting destructive arson that would harm vulnerable people.
Starts smoking meth in Season 8	Frank	Frank	5	25	Stupid	Escalates self‑destruction with no compensating, lasting benefit.
Prostituting himself to the PTA causes an outbreak of venereal disease	Frank	PTA members	30	5	Bandit	He gains money/sex while spreading disease and harming others’ health.
Attempts suicide by overdose	Frank	Frank	0	40	Stupid	Self‑destructive attempt that fails, leaving him in worse medical condition without helping anyone.
Gives Sean a public character assassination at Fiona's wedding, revealing Sean hasn't changed	Frank	Sean (and indirectly Fiona)	40	65	Bandit	He torpedoes the wedding and hurts Sean but unintentionally helps Fiona see Sean’s ongoing addiction.
Convinces Fiona to let the kids enjoy Monica’s temporary return for the memories	Frank	Gallagher kids	55	70	Intelligent	He gains a smoother household dynamic while the kids gain rare positive memories with their mother.
Headbutts Ian for asking if he’s wearing Ian’s shirt	Frank	Ian	25	5	Stupid	He risks retaliation and further alienation for a pointless burst of violence.
Shuffles out the backdoor when Monica attempts suicide, avoiding helping	Frank	Monica & helpers	55	10	Bandit	He preserves his own comfort by abandoning others to handle a life‑or‑death crisis.
Brings Franny on his business around town instead of taking her to preschool, having a nice day together	Frank	Franny	60	65	Intelligent	He gets companionship and ego gratification while Franny gains bonding time and a positive experience.
Loses Liam in a bet, requiring the family to rescue Liam	Frank	Liam & family	20	0	Stupid	Brief gambling gain is swamped by family hostility and danger to Liam.
Expects his children to let him live in their house and gets angry when they object	Frank	His children	35	20	Bandit	He pushes to secure free housing while disregarding their boundaries and stress.
Runs away from the hospital after his near‑death experience and starts drinking whiskey alone	Frank	Frank	5	10	Stupid	He abandons medical care and renews self‑destructive behavior for short‑term relief.
Passes no judgment on Ian and Mickey when catching them having sex	Frank	Ian and Mickey	55	80	Intelligent	He avoids conflict for himself and spares them fear and shame.
Takes responsibility for a heist he and Carl carried out, saving Carl from juvie	Frank	Carl	40	85	Helpless	He risks serious legal trouble to protect Carl from incarceration.
Compliments his children to Peggy, expressing pride	Frank	His children (via Peggy)	55	70	Intelligent	He gains some self‑esteem and relational image while affirming his children’s worth.
Apologizes to Emily (thinking she’s Fiona) for being a horrible parent	Frank	Emily / Fiona (symbolically)	60	75	Intelligent	The apology brings him emotional catharsis and offers genuine care and validation to Emily.
Calls Bianca’s family to tell them where she is so she can get help	Frank	Bianca and her family	65	85	Intelligent	He sacrifices continued escapism with her to prioritize her health and her family’s needs.
Abandons his hippie paradise and risks being killed by drug dealers to drive pregnant Debbie to hospital	Frank	Debbie (and her baby)	30	95	Helpless	He incurs mortal danger and loses comfort to ensure Debbie’s safe delivery.
Helps get Liam into a nice private school for free	Frank	Liam	60	90	Intelligent	He gains affection and pride while securing Liam a major educational benefit at no cost.
Sends Franny to the wrong school, then spends a bonding day with her and gets her name tattooed	Frank	Franny	50	70	Intelligent	Initial negligence is outweighed in the story by emotional bonding and affirmation he and Franny both value.
Pretends to be asleep to avoid confrontation	Frank	Whoever wants to confront him	60	30	Bandit	He protects himself from uncomfortable accountability while frustrating others’ attempts to resolve issues.
Rats out Chuckie to get back at Sammi for shooting him	Frank	Chuckie (and Sammi indirectly)	45	10	Bandit	He gains revenge/relief against Sammi at the cost of sacrificing Chuckie’s well‑being.
