Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
Monica accidentally cuts off tip of Chandler's toe	Monica	Chandler	10	10	Stupid	She injures him with no benefit to herself and clear harm to him.
Chandler’s dad runs away with the pool boy on Thanksgiving	Chandler's father	Chandler	20	5	Bandit	He pursues his own relationship while badly damaging his son’s wellbeing.
Chandler’s parents announce their divorce during Thanksgiving dinner	Chandler's parents	Chandler	15	5	Stupid	They choose a maximally hurtful moment without any gain beyond what a better-timed talk could give.
Chandler’s mother tells the world on TV how she got him his first condoms	Chandler's mother	Chandler	40	10	Bandit	She gains publicity/humor at his expense by deeply embarrassing him.
Chandler uses humor early on to charm and date women	Chandler	Women he dates	75	65	Intelligent	He gets relationships and they enjoy his charm with no shown downside.
Chandler later believes he’s terrible with women and self-knocks about it	Chandler	Chandler	30	50	Helpless	His self-image harms his confidence without helping anyone else.
Chandler makes out with Ross while drunk	Chandler	Ross	55	55	Intelligent	Presented as mutual drunken experimentation; no real harm or clear cost is shown.
Chandler makes out with a crossdressing man while drunk	Chandler	Crossdressing man	55	55	Intelligent	Again framed as harmless if embarrassing mutual drunken behavior.
Chandler loudly overcompensates insisting he’s straight at the drag club	Chandler	Drag club patrons	35	40	Helpless	He burns social capital and looks ridiculous, gaining no clear benefit.
Chandler hides his real gaming skill to avoid Monica’s competitiveness	Chandler	Monica	60	40	Bandit	He protects his comfort while mildly depriving her of a partner/joy in competition.
Chandler worries about becoming like his parents and works through it with Monica’s help	Chandler	Monica	80	80	Intelligent	His self-work benefits his stability and strengthens the relationship.
Chandler lets his staff go home despite a Christmas contract	Chandler	His staff	75	85	Intelligent	He risks trouble but boosts morale and then quits, so he largely avoids the cost.
Chandler quits his job after sending staff home	Chandler	Chandler	60	50	Intelligent	He loses one job but frees himself for a better-suited career path later.
Monica accidentally drops a knife on his toe in the flashback	Monica	Chandler	10	10	Stupid	Again needless serious injury with no compensating benefit.
