Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
He plans manipulative, self-serving ways to get with Britta despite her lack of interest	Duncan	Britta	60	15	Bandit	He seeks sexual/emotional gain while disregarding her wishes and autonomy.
He weasels his way into being alone with Britta during her existential crisis	Duncan	Britta	65	10	Bandit	He maneuvers the situation to isolate a vulnerable person for his own prospective benefit.
He has a change of heart and decides not to take advantage of vulnerable Britta	Duncan	Britta	55	80	Intelligent	He foregoes a potential exploitative gain to protect her well-being and his own conscience/relationship.
He momentarily regrets not taking advantage after Britta says she would have consented	Duncan	Duncan	30	45	Helpless	He emotionally punishes himself for choosing the ethical path despite no one being harmed.
He drinks excessively (likes his booze a little too much)	Duncan	Duncan	25	40	Helpless	His alcoholism harms his own functioning while offering no clear benefit to others.
He as anthropology teacher refuses to engage with the subject or teach usefully	Duncan	Students	45	20	Bandit	He keeps his job/comfort while depriving students of proper education.
He does not buy the anthropology textbook because it’s too expensive	Duncan	Students	60	30	Bandit	He saves his own money and effort while undermining course quality for students.
He spends entire weeks playing YouTube videos instead of teaching	Duncan	Students	55	25	Bandit	He makes his own workload easier while denying students genuine instruction.
He improvises an anesthesiology class because a pretty student got the room wrong	Duncan	Pretty student and class	50	20	Stupid	He indulges a whim without clear gain and wastes students’ time with irrelevant content.
He sets the anthropology final exam as an excuse for everyone to drink	Duncan	Students	65	30	Bandit	He engineers a party-like exam for his own enjoyment at the cost of academic integrity.
He helps Professor Duncan get out of a legal scrape involving driving	Jeff	Duncan	70	60	Intelligent	He uses his skills to save Duncan from legal trouble and likely builds goodwill.
He treats Jeff more nicely than others because Jeff once helped him	Duncan	Jeff	65	65	Intelligent	He repays a favor, benefiting their relationship without harming others.
He attempts to get Jeff to give up his manipulative ways in the pilot	Duncan	Jeff	60	75	Intelligent	He tries to guide Jeff toward more honest behavior, which can benefit both of them.
He conducts a cruel psychological study with Annie helping him	Duncan	Study subjects	55	15	Bandit	He pursues professional/academic interests via an experiment framed as cruel to participants.
He reveals lonely unprocessed childhood trauma when pressed or drunk	Duncan	Himself	40	55	Helpless	He exposes his own pain under pressure, which can help others understand him more than it helps himself.
He plays piano well for the Glee Club	Duncan	Glee Club	60	70	Intelligent	He uses his talent in a group activity, giving enjoyment to others and social value to himself.
He establishes “The Duncan Principle” experiment	Duncan	Experiment subjects	55	25	Bandit	He seeks academic recognition through a manipulative design that burdens participants.
Abed waits twenty-six hours for the meeting Duncan promised (backfiring on Duncan)	Abed	Duncan	60	10	Bandit	Abed gains data/validation at the cost of Duncan becoming victim of his own exploitative setup.
He runs ethically questionable experiments and lures patients into therapy to hit on them and get publication material	Duncan	Patients	70	10	Bandit	He uses clients for sexual and professional gain while risking their well-being and trust.
He sets the anthro final as a drinking excuse and orders Annie bullied down when she questions fairness	Duncan	Annie and class	60	10	Bandit	He protects his sham class and party plan by socially suppressing a conscientious student.
He hides from the Dean that anthropology has been a complete dodge of a class	Duncan	Dean and students	55	15	Bandit	He conceals his negligence to avoid consequences, worsening institutional and student outcomes.
The Dean walks in during Duncan’s celebratory toast and scuttles his plans	Dean Pelton	Duncan	55	35	Intelligent	The Dean accidentally enforces accountability, curbing Duncan’s misuse of the exam for drinking.
Abed repeatedly turns Duncan’s psychoanalysis back on him	Abed	Duncan	60	35	Bandit	Abed protects himself and gains insight while destabilizing Duncan’s authority and comfort.
He advises Jeff in the pilot to earn his degree honorably	Duncan	Jeff	60	80	Intelligent	He encourages genuine effort, potentially reforming Jeff and reflecting well on himself.
He performs a harmless secret test of character on Jeff	Duncan	Jeff	55	70	Intelligent	He mildly manipulates Jeff in order to nudge him toward better behavior without real harm.
He throws a full-blown temper tantrum when his experiment backfires	Duncan	Experiment environment	20	30	Stupid	His meltdown emotionally harms himself and undermines his standing while helping no one.
He decides not to take advantage of Britta in Season 5, drives her home, and gives her a pep talk	Duncan	Britta	65	85	Intelligent	He actively supports her emotionally and safely, also improving his own character and relationships.
He chooses to remain on The Daily Show rather than become a regular on Community	Actor Oliver (Duncan’s actor)	Community production	70	30	Bandit	He prioritizes his own career stability over the show’s original casting plans.
